ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPAC17A2.06c_205	vps8	SPAC17A2.06c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.154	0.026	0.0	0.365	3.001	7.138	6.773	2.196	0.057	2.038	-29.78	-30.404	0.532727	0.051	0.231533	0.0	0.17	0.073	0.144	0.186	0.219	0.01	0.093	0.136	0.15	0.153	0.154	-0.01	0.077	-0.063	-0.006	0.033	0.065	1
SPAC977.17_145	SPAC977.17	SPAC977.17	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.102	-0.016	0.0	0.393	3.239	7.705	7.312	2.371	0.037	0.005	-27.462	-28.087	-0.421764	0.062	0.382829	0.0	-0.135	0.026	-0.013	-0.022	-0.056	0.007	0.0	0.0	0.0	0.0	0.0	-0.007	-0.135	0.026	-0.013	-0.022	-0.056	1
SPAC664.15_46	mdv1	SPAC664.15	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.664	0.111	-0.0	0.364	3.001	7.138	6.773	2.196	0.244	8.782	-23.257	-23.882	0.863699	0.087	0.120492	0.0	0.523	0.643	0.504	0.62	0.725	0.044	0.401	0.588	0.648	0.661	0.663	-0.044	0.122	0.055	-0.144	-0.041	0.062	1
SPAC1F12.06c_35	SPAC1F12.06c	SPAC1F12.06c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.01	0.002	-0.0	0.363	2.993	7.118	6.755	2.19	-0.004	-0.0	-23.096	-23.721	-3.064291	0.089	0.613961	0.0	0.054	0.099	0.089	0.075	0.144	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.054	0.099	0.089	0.075	0.144	1
SPAC26H5.03_37	pcf2	SPAC26H5.03	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.255	0.043	-0.0	0.364	3.001	7.138	6.773	2.196	0.094	3.37	-26.986	-27.611	0.574658	0.064	0.202866	0.0	0.244	0.315	0.18	0.246	0.197	0.017	0.154	0.226	0.249	0.254	0.255	-0.017	0.09	0.089	-0.069	-0.008	-0.058	1
SPAC1952.06c_98	SPAC1952.06c	SPAC1952.06c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.256	0.04	0.0	0.389	3.205	7.624	7.235	2.346	0.094	3.327	-44.96	-45.585	0.976167	0.014	0.05194	0.0	0.152	0.21	0.253	0.276	0.238	0.017	0.146	0.221	0.248	0.254	0.256	-0.017	0.006	-0.011	0.005	0.022	-0.018	1
SPAC20G4.05c_100	fmp40	SPAC20G4.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.122	0.02	0.0	0.364	3.001	7.138	6.773	2.196	0.045	1.615	-34.39	-35.015	0.633008	0.035	0.207789	0.0	0.07	0.166	0.068	0.154	0.117	0.008	0.074	0.108	0.119	0.121	0.122	-0.008	-0.004	0.058	-0.051	0.033	-0.005	1
SPBC29A3.09c_41	gcn20	SPBC29A3.09c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.78	0.045	-0.0	1.058	8.713	20.725	19.667	6.376	0.287	6.039	-27.15	-27.775	0.897197	0.063	0.100956	0.0	0.301	0.322	0.417	0.517	0.625	0.051	0.17	0.307	0.454	0.565	0.64	-0.051	0.131	0.015	-0.037	-0.048	-0.015	1
SPAC1565.04c_48	ste4	SPAC1565.04c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.032	0.005	0.0	0.364	3.001	7.137	6.773	2.196	-0.012	-0.001	-31.75	-32.375	-1.446184	0.043	0.502747	0.0	0.086	0.044	0.022	0.035	0.012	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	0.002	0.086	0.044	0.022	0.035	0.012	1
SPCC622.16c_159	epe1	SPCC622.16c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.008	0.001	-0.0	0.364	2.998	7.13	6.766	2.194	-0.003	-0.0	-21.697	-22.322	-1.456881	0.099	0.599202	0.0	0.028	0.048	0.058	0.166	0.159	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.028	0.048	0.058	0.166	0.159	1
SPBC16A3.18_50	cip1	SPBC16A3.18	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.457	0.038	0.0	0.733	6.032	14.347	13.614	4.414	0.168	4.545	-31.203	-31.828	0.89905	0.045	0.098428	0.0	0.222	0.276	0.306	0.364	0.458	0.03	0.141	0.256	0.351	0.403	0.43	-0.03	0.081	0.02	-0.045	-0.039	0.028	1
SPCC965.12_44	dpe2	SPCC965.12	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.07	-0.007	0.0	0.61	5.019	11.937	11.328	3.673	0.026	0.005	-31.582	-32.206	-0.153875	0.044	0.349803	0.0	-0.012	0.049	-0.076	0.001	-0.056	0.005	0.0	0.0	0.0	0.0	0.0	-0.005	-0.012	0.049	-0.076	0.001	-0.056	1
SPBC1604.04_68	SPBC1604.04	SPBC1604.04	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.132	0.022	-0.0	0.364	3.001	7.138	6.773	2.196	0.049	1.75	-28.015	-28.64	0.323994	0.059	0.270366	0.0	0.135	0.106	0.028	0.122	0.217	0.009	0.08	0.117	0.129	0.132	0.132	-0.009	0.055	-0.011	-0.101	-0.01	0.085	1
SPBC405.06_7	xdj1	SPBC405.06	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.119	0.02	0.0	0.364	3.001	7.138	6.773	2.196	0.044	1.571	-28.014	-28.639	0.147936	0.059	0.313932	0.0	0.187	0.134	0.04	0.106	0.145	0.008	0.072	0.105	0.116	0.118	0.119	-0.008	0.115	0.029	-0.076	-0.012	0.026	1
SPBC8D2.02c_40	vps68	SPBC8D2.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.238	0.04	0.0	0.364	3.001	7.138	6.773	2.196	0.087	3.144	-46.056	-46.681	0.978247	0.013	0.053708	0.0	0.134	0.233	0.222	0.242	0.243	0.016	0.144	0.21	0.232	0.236	0.237	-0.016	-0.01	0.023	-0.01	0.006	0.006	1
SPAC19D5.03_46	cid1	SPAC19D5.03	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.018	0.003	-0.0	0.364	3.001	7.138	6.773	2.196	-0.007	-0.001	-28.102	-28.727	-1.874358	0.058	0.630044	0.0	0.093	0.075	0.052	0.06	0.004	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.093	0.075	0.052	0.06	0.004	1
SPCC1620.02_85	wtf23	SPCC1620.02	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.445	-0.075	-0.0	0.364	3.001	7.138	6.773	2.196	-0.164	-5.883	-26.153	-26.778	0.803486	0.069	0.151713	0.0	-0.414	-0.375	-0.429	-0.452	-0.369	-0.029	-0.269	-0.394	-0.434	-0.442	-0.444	0.029	-0.145	0.019	0.005	-0.01	0.075	1
SPCC548.05c_96	dbl5	SPCC548.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.019	0.003	-0.0	0.364	2.998	7.13	6.766	2.194	-0.007	-0.001	-27.2	-27.824	-3.693383	0.063	0.717215	0.0	0.039	0.088	0.065	0.077	0.066	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.039	0.088	0.065	0.077	0.066	1
SPBPB21E7.11_13	SPBPB21E7.11	SPBPB21E7.11	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.436	0.022	0.0	1.191	9.809	23.333	22.141	7.178	-0.16	-0.059	-11.659	-12.284	-0.937422	0.23	0.472555	0.0	-0.486	-0.235	-0.154	-0.06	-0.034	-0.029	-0.005	-0.0	-0.0	-0.0	-0.0	0.029	-0.481	-0.235	-0.154	-0.06	-0.034	1
SPAC23C11.07_13	SPAC23C11.07	SPAC23C11.07	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.243	0.041	-0.0	0.364	3.001	7.138	6.773	2.196	0.089	3.215	-24.16	-24.785	0.34309	0.081	0.25968	0.0	0.312	0.226	0.269	0.192	0.152	0.016	0.147	0.215	0.237	0.242	0.243	-0.016	0.165	0.011	0.032	-0.05	-0.091	1
SPBC18H10.19_73	vps38	SPBC18H10.19	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.124	-0.02	-0.0	0.375	3.087	7.342	6.967	2.259	0.046	0.005	-14.483	-15.108	-0.057115	0.181	0.344776	0.0	-0.302	-0.199	-0.078	0.102	0.224	0.008	0.0	0.0	0.0	0.0	0.0	-0.008	-0.302	-0.199	-0.078	0.102	0.224	1
SPBP23A10.11c_31	SPBP23A10.11c	SPBP23A10.11c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.408	0.068	0.0	0.364	3.001	7.138	6.773	2.196	0.15	5.393	-24.492	-25.117	0.758277	0.079	0.149285	0.0	0.296	0.355	0.259	0.387	0.528	0.027	0.247	0.361	0.398	0.406	0.407	-0.027	0.049	-0.006	-0.139	-0.019	0.121	1
SPCC191.03c_11	SPCC191.03c	SPCC191.03c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.136	0.023	0.0	0.365	3.001	7.138	6.773	2.196	0.05	1.794	-30.962	-31.587	0.541823	0.046	0.198454	0.0	0.136	0.1	0.125	0.131	0.232	0.009	0.082	0.12	0.132	0.135	0.136	-0.009	0.054	-0.02	-0.007	-0.004	0.096	1
SPCC1884.02_81	nic1	SPCC1884.02	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.177	0.026	0.0	0.416	3.428	8.155	7.738	2.509	0.065	2.255	-35.651	-36.275	0.79249	0.031	0.152021	0.0	0.116	0.134	0.109	0.205	0.2	0.012	0.095	0.148	0.169	0.175	0.177	-0.012	0.021	-0.014	-0.06	0.03	0.023	1
SPBC83.12_10	SPBC83.12	SPBC83.12	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.022	0.004	0.0	0.364	3.001	7.138	6.773	2.196	-0.008	-0.001	-25.401	-26.025	-1.586292	0.073	0.559185	0.0	0.102	0.131	0.021	0.052	0.037	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.102	0.131	0.021	0.052	0.037	1
SPAC27D7.05c_5	apc14	SPAC27D7.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.173	0.029	-0.0	0.364	3.001	7.138	6.773	2.196	0.064	2.284	-31.192	-31.817	0.525083	0.045	0.242229	0.0	0.186	0.18	0.186	0.122	0.129	0.011	0.104	0.153	0.168	0.172	0.173	-0.011	0.082	0.027	0.018	-0.05	-0.044	1
SPAC25H1.03_11	atg101	SPAC25H1.03	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.021	0.004	-0.0	0.364	3.0	7.135	6.771	2.195	-0.008	-0.001	-31.122	-31.747	-3.516354	0.045	0.699575	0.0	0.065	0.052	0.053	0.044	0.026	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.065	0.052	0.053	0.044	0.026	1
SPAC8E11.05c_54	SPAC8E11.05c	SPAC8E11.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.168	0.028	-0.0	0.364	3.001	7.138	6.773	2.196	0.062	2.215	-28.037	-28.661	0.372496	0.059	0.259238	0.0	0.158	0.226	0.172	0.066	0.138	0.011	0.101	0.148	0.163	0.167	0.167	-0.011	0.057	0.078	0.009	-0.101	-0.029	1
SPBC18H10.10c_50	saf4	SPBC18H10.10c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.042	0.007	0.0	0.364	2.999	7.133	6.769	2.195	-0.015	-0.002	-30.978	-31.603	-0.252423	0.046	0.395427	0.0	0.056	-0.017	-0.026	0.02	0.09	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0	0.003	0.056	-0.017	-0.026	0.02	0.09	1
SPAC12G12.01c_101	sea4	SPAC12G12.01c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.031	0.003	-0.0	0.625	5.143	12.232	11.608	3.763	-0.011	-0.002	-36.521	-37.145	-1.154872	0.029	0.48895	0.0	0.031	0.059	0.004	0.014	0.018	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	0.002	0.031	0.059	0.004	0.014	0.018	1
SPAC31A2.16_83	gef2	SPAC31A2.16	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.408	0.028	0.0	0.894	7.358	17.503	16.609	5.385	0.15	3.573	-38.191	-38.815	0.952762	0.025	0.07247	0.0	0.127	0.225	0.263	0.297	0.347	0.027	0.104	0.189	0.273	0.328	0.361	-0.027	0.023	0.036	-0.01	-0.031	-0.014	1
SPBC2F12.05c_22	osh2	SPBC2F12.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.0	0.0	-0.0	0.364	2.999	7.134	6.77	2.195	0.0	0.003	-31.425	-32.05	-0.010826	0.044	0.30514	0.0	0.062	0.016	0.006	0.027	-0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.016	0.006	0.027	-0.083	1
SPAPB18E9.02c_113	ppk18	SPAPB18E9.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.65	0.109	-0.0	0.364	3.001	7.138	6.773	2.196	0.239	8.588	-23.547	-24.171	0.860623	0.085	0.11815	0.0	0.546	0.57	0.561	0.558	0.722	0.043	0.393	0.575	0.633	0.646	0.649	-0.043	0.153	-0.005	-0.072	-0.088	0.073	1
SPAP11E10.02c_173	mam3	SPAP11E10.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.141	0.021	0.0	0.414	3.406	8.101	7.688	2.493	0.052	1.803	-39.464	-40.089	0.872928	0.023	0.140591	0.0	0.057	0.154	0.157	0.161	0.161	0.009	0.076	0.119	0.135	0.14	0.141	-0.009	-0.019	0.035	0.022	0.021	0.02	1
SPBC1604.12_91	SPBC1604.12	SPBC1604.12	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.139	0.023	0.0	0.364	3.001	7.138	6.773	2.196	0.051	1.844	-34.737	-35.362	0.636807	0.034	0.176992	0.0	0.12	0.113	0.109	0.094	0.19	0.009	0.084	0.123	0.136	0.139	0.139	-0.009	0.036	-0.01	-0.027	-0.045	0.051	1
SPBC106.19_33	ppr10	SPBC106.19	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.449	0.085	2.726	3.764	11.271	23.05	19.286	8.979	0.533	8.412	-28.802	-29.427	0.980908	0.055	0.046878	0.0	0.174	0.348	0.572	0.839	1.174	0.022	0.142	0.353	0.644	0.898	1.084	-0.022	0.032	-0.005	-0.072	-0.059	0.09	1
SPAC17C9.16c_111	mfs1	SPAC17C9.16c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.117	0.02	0.0	0.364	3.001	7.138	6.773	2.196	0.043	1.542	-32.125	-32.75	0.48282	0.042	0.244638	0.0	0.105	0.167	0.093	0.074	0.17	0.008	0.071	0.103	0.114	0.116	0.116	-0.008	0.034	0.064	-0.021	-0.042	0.054	1
SPAC57A10.08c_63	SPAC57A10.08c	SPAC57A10.08c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.03	0.004	0.0	0.424	3.488	8.297	7.874	2.553	-0.011	-0.001	-23.628	-24.252	-0.954597	0.085	0.494202	0.0	0.171	0.083	0.002	0.018	0.081	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	0.002	0.171	0.083	0.002	0.018	0.081	1
SPAC6G9.15c_36	ebp1	SPAC6G9.15c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.171	0.029	-0.0	0.364	3.001	7.138	6.773	2.196	0.063	2.266	-38.586	-39.211	0.853514	0.024	0.118998	0.0	0.13	0.132	0.133	0.173	0.205	0.011	0.104	0.152	0.167	0.17	0.171	-0.011	0.026	-0.02	-0.034	0.003	0.034	1
SPAC17H9.12c_44	cyc2	SPAC17H9.12c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.632	0.032	0.0	1.204	9.915	23.584	22.379	7.256	0.233	4.416	-30.312	-30.937	0.926354	0.049	0.088303	0.0	0.133	0.218	0.24	0.409	0.549	0.042	0.124	0.218	0.327	0.416	0.482	-0.042	0.009	0.0	-0.087	-0.007	0.067	1
SPAC11D3.02c_17	SPAC11D3.02c	SPAC11D3.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.253	0.042	-0.0	0.364	3.001	7.138	6.773	2.196	0.093	3.342	-29.601	-30.226	0.67969	0.051	0.183238	0.0	0.243	0.281	0.197	0.214	0.235	0.017	0.153	0.224	0.247	0.251	0.252	-0.017	0.09	0.057	-0.05	-0.037	-0.017	1
SPBPB2B2.07c_12	SPBPB2B2.07c	SPBPB2B2.07c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.371	0.019	0.0	1.185	9.755	23.202	22.018	7.138	-0.137	-0.05	-15.331	-15.956	-0.002308	0.169	0.356565	0.0	-0.328	-0.149	0.114	0.146	0.097	-0.025	-0.004	-0.0	-0.0	-0.0	-0.0	0.025	-0.324	-0.149	0.114	0.146	0.097	1
SPCP1E11.03_18	mug170	SPCP1E11.03	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.182	0.031	-0.0	0.364	3.001	7.138	6.773	2.196	0.067	2.41	-27.585	-28.21	0.337965	0.061	0.268614	0.0	0.227	0.205	0.182	0.116	0.134	0.012	0.11	0.161	0.178	0.181	0.182	-0.012	0.117	0.044	0.004	-0.065	-0.048	1
SPBC26H8.05c_32	pph3	SPBC26H8.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.256	0.043	-0.0	0.364	3.001	7.138	6.773	2.196	0.094	3.384	-30.249	-30.874	0.757177	0.049	0.161096	0.0	0.214	0.18	0.178	0.286	0.303	0.017	0.155	0.227	0.25	0.255	0.256	-0.017	0.059	-0.047	-0.072	0.031	0.047	1
SPAC1F12.05_52	any2	SPAC1F12.05	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.578	0.084	0.0	0.42	3.457	8.223	7.803	2.53	0.213	7.338	-33.994	-34.619	0.970474	0.036	0.056257	0.0	0.33	0.465	0.543	0.527	0.634	0.038	0.308	0.481	0.552	0.571	0.576	-0.038	0.022	-0.016	-0.009	-0.044	0.058	1
SPAC1687.16c_54	erg31	SPAC1687.16c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.131	0.022	-0.0	0.364	3.001	7.138	6.773	2.196	0.048	1.737	-49.151	-49.776	0.950558	0.01	0.077758	0.0	0.101	0.117	0.12	0.13	0.128	0.009	0.079	0.116	0.128	0.131	0.131	-0.009	0.022	0.001	-0.008	-0.001	-0.003	1
SPCPJ732.02c_42	xks1	SPCPJ732.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.031	0.005	0.0	0.364	3.001	7.138	6.773	2.196	-0.011	-0.001	-35.44	-36.064	-3.079915	0.032	0.637303	0.0	0.041	0.022	0.027	0.05	0.025	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	0.002	0.041	0.022	0.027	0.05	0.025	1
SPBC36B7.05c_40	pib1	SPBC36B7.05c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.154	0.026	-0.0	0.364	3.001	7.138	6.773	2.196	0.057	2.038	-34.462	-35.087	0.616134	0.034	0.206425	0.0	0.166	0.153	0.127	0.146	0.127	0.01	0.093	0.136	0.15	0.153	0.154	-0.01	0.073	0.017	-0.023	-0.007	-0.027	1
SPAC18B11.04_15	ncs1	SPAC18B11.04	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.019	0.003	0.0	0.364	3.001	7.138	6.773	2.196	-0.007	-0.001	-26.032	-26.656	-3.324941	0.069	0.650297	0.0	0.043	0.062	0.082	0.071	0.107	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.043	0.062	0.082	0.071	0.107	1
SPAC1610.04_25	mmc1	SPAC1610.04	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.137	0.023	0.0	0.364	3.001	7.138	6.773	2.196	0.05	1.807	-27.096	-27.721	0.23179	0.063	0.331439	0.0	0.191	0.027	0.093	0.142	0.178	0.009	0.083	0.121	0.133	0.136	0.137	-0.009	0.108	-0.094	-0.04	0.006	0.041	1
SPBC83.04_4	apc15	SPBC83.04	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.273	0.046	-0.0	0.364	3.001	7.138	6.773	2.196	0.101	3.612	-35.802	-36.427	0.894	0.031	0.110383	0.0	0.233	0.234	0.252	0.251	0.278	0.018	0.165	0.242	0.266	0.272	0.273	-0.018	0.068	-0.008	-0.014	-0.021	0.005	1
SPAC23H4.21_22	SPAC23H4.21	SPAC23H4.21	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.226	0.038	-0.0	0.364	3.001	7.138	6.773	2.196	0.083	2.99	-35.943	-36.568	0.8518	0.03	0.132267	0.0	0.197	0.201	0.18	0.229	0.226	0.015	0.137	0.2	0.221	0.225	0.226	-0.015	0.06	0.001	-0.041	0.004	0.0	1
SPCC1739.04c_54	dms1	SPCC1739.04c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.029	0.004	-0.0	0.457	3.766	8.957	8.499	2.756	-0.011	-0.001	-32.539	-33.163	-0.964853	0.04	0.503193	0.0	0.025	0.051	0.005	0.008	0.08	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	0.002	0.025	0.051	0.005	0.008	0.08	1
SPAC750.06c_66	SPAC750.06c	SPAC750.06c	2	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	3.415	0.297	3.042	3.743	8.815	16.773	13.03	7.267	1.256	25.453	-27.756	-28.38	0.997368	0.06	0.019261	0.0	0.244	1.207	2.064	2.677	3.116	0.013	0.334	1.122	2.095	2.73	3.069	-0.013	-0.09	0.085	-0.031	-0.053	0.047	2
SPCC584.03c_88	SPCC584.03c	SPCC584.03c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.017	0.003	0.0	0.364	3.001	7.138	6.773	2.196	-0.006	-0.001	-25.058	-25.683	-2.530293	0.075	0.657032	0.0	0.103	0.083	0.114	0.045	0.037	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.103	0.083	0.114	0.045	0.037	1
SPBPB21E7.07_44	aes1	SPBPB21E7.07	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.121	0.008	0.0	0.939	7.733	18.393	17.454	5.659	-0.045	-0.013	-20.248	-20.872	-0.000761	0.112	0.334785	0.0	-0.077	-0.161	-0.026	0.113	0.174	-0.008	-0.001	-0.0	-0.0	-0.0	-0.0	0.008	-0.076	-0.161	-0.026	0.113	0.174	1
SPAP8A3.02c_26	ofd2	SPAP8A3.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.019	0.003	0.0	0.364	3.001	7.137	6.773	2.196	-0.007	-0.001	-26.488	-27.113	-3.641038	0.067	0.715855	0.0	0.093	0.052	0.069	0.052	0.089	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.093	0.052	0.069	0.052	0.089	1
SPAPB8E5.08_6	SPAPB8E5.08	SPAPB8E5.08	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.035	0.005	-0.0	0.436	3.593	8.546	8.11	2.629	-0.013	-0.002	-41.05	-41.675	-0.035221	0.02	0.33735	0.0	0.04	-0.011	-0.019	-0.004	0.016	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0	0.002	0.04	-0.011	-0.019	-0.004	0.016	1
SPAC3H1.03_14	mug151	SPAC3H1.03	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.16	0.027	-0.0	0.364	3.001	7.138	6.773	2.196	0.059	2.109	-32.166	-32.791	0.577834	0.042	0.203554	0.0	0.164	0.156	0.119	0.112	0.204	0.011	0.096	0.141	0.156	0.159	0.159	-0.011	0.068	0.015	-0.037	-0.047	0.045	1
SPBC3E7.10_25	fma1	SPBC3E7.10	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	1.242	0.064	0.406	1.585	10.117	23.504	21.919	7.512	0.457	8.468	-30.518	-31.143	0.979577	0.048	0.047087	0.0	0.25	0.396	0.593	0.77	1.013	0.07	0.225	0.412	0.631	0.812	0.945	-0.07	0.025	-0.016	-0.038	-0.042	0.068	1
SPAC2E1P3.02c_139	amt3	SPAC2E1P3.02c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.096	-0.011	0.0	0.525	4.324	10.285	9.759	3.164	0.035	0.006	-30.873	-31.498	-2.504069	0.046	0.551675	0.0	-0.03	-0.035	-0.084	-0.045	-0.04	0.006	0.0	0.0	0.0	0.0	0.0	-0.006	-0.03	-0.035	-0.084	-0.045	-0.04	1
SPBC1198.07c_25	dfg502	SPBC1198.07c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.298	0.05	-0.0	0.364	3.001	7.138	6.773	2.196	0.11	3.943	-23.507	-24.132	0.593243	0.086	0.184421	0.0	0.219	0.229	0.217	0.464	0.212	0.02	0.18	0.264	0.291	0.297	0.298	-0.02	0.039	-0.035	-0.074	0.167	-0.086	1
SPBC32F12.15_9	tfb5	SPBC32F12.15	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	5.578	0.43	2.629	3.42	9.144	18.125	14.705	7.396	2.052	40.262	-30.525	-31.149	0.999292	0.048	0.009809	0.0	0.673	1.744	3.297	4.201	4.859	0.05	0.637	1.803	3.235	4.247	4.842	-0.05	0.036	-0.059	0.062	-0.046	0.017	3
SPAC23C4.06c_20	efm6	SPAC23C4.06c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.145	0.024	0.0	0.364	3.001	7.138	6.773	2.196	0.053	1.922	-34.466	-35.091	0.644322	0.034	0.178113	0.0	0.118	0.131	0.088	0.114	0.193	0.01	0.088	0.129	0.142	0.145	0.145	-0.01	0.03	0.002	-0.054	-0.031	0.048	1
SPCC576.04_49	bxi1	SPCC576.04	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	-0.01	0.002	0.0	0.364	2.997	7.129	6.765	2.193	-0.004	-0.0	-22.035	-22.659	-2.922663	0.097	0.659405	0.0	0.137	0.073	0.067	0.077	0.147	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	0.001	0.137	0.073	0.067	0.077	0.147	1
SPAC18G6.12c_40	SPAC18G6.12c	SPAC18G6.12c	1	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	0.284	0.014	0.0	1.204	9.915	23.584	22.379	7.256	0.104	1.981	-28.078	-28.703	0.665557	0.058	0.182872	0.0	0.072	0.075	0.067	0.139	0.32	0.019	0.055	0.098	0.147	0.187	0.216	-0.019	0.017	-0.023	-0.08	-0.048	0.104	1
