ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPCC31H12.07_41	sec231	SPCC31H12.07	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	15.609	1.012	1.231	2.172	8.981	19.666	17.494	6.902	5.742	116.472	-7.026	-7.65	0.994664	0.338	0.025747	0.0	2.888	5.961	8.515	11.643	13.118	0.533	2.691	5.655	9.004	11.479	13.076	-0.533	0.197	0.306	-0.489	0.164	0.042	7
SPAPJ698.03c_55	prp12	SPAPJ698.03c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.167	1.165	1.992	2.63	7.241	14.476	11.846	5.833	4.476	108.14	-13.567	-14.191	0.997894	0.196	0.017386	0.0	2.324	5.364	8.966	10.917	11.263	0.126	2.133	5.61	8.896	10.657	11.473	-0.126	0.191	-0.246	0.07	0.26	-0.21	5
SPBC25H2.13c_241	cdc20	SPBC25H2.13c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.176	1.142	0.69	1.448	6.928	15.527	14.079	5.255	5.215	129.679	4.68	4.055	0.965604	0.896	0.064288	0.0	4.018	6.836	9.479	13.935	12.644	0.6	3.479	6.967	10.174	12.069	13.072	-0.6	0.539	-0.131	-0.695	1.866	-0.428	8
SPAC3G9.06_110	frs2	SPAC3G9.06	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.85	1.166	0.042	0.768	6.016	14.252	13.484	4.414	5.095	138.009	-0.341	-0.965	0.983246	0.59	0.044684	0.0	5.021	7.761	9.898	12.583	13.194	0.89	4.27	7.776	10.672	12.254	13.045	-0.89	0.751	-0.015	-0.774	0.329	0.149	8
SPAC926.09c_339	fas1	SPAC926.09c	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.15	1.1	2.211	3.107	9.59	19.763	16.656	7.611	5.941	111.947	-11.814	-12.439	0.997835	0.227	0.0169	0.0	2.01	5.364	8.441	11.773	13.409	0.269	2.054	5.07	8.787	11.608	13.423	-0.269	-0.044	0.294	-0.346	0.165	-0.014	7
SPBC336.04_151	cdc6	SPBC336.04	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	15.478	1.118	0.864	1.709	7.824	17.419	15.71	5.957	5.694	129.594	-6.211	-6.836	0.994446	0.361	0.026128	0.0	3.551	6.901	9.614	12.466	13.835	0.618	3.263	6.65	10.099	12.381	13.717	-0.618	0.288	0.251	-0.485	0.085	0.118	8
SPAC19G12.14_98	its3	SPAC19G12.14	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	11.647	1.074	2.026	2.688	7.475	14.987	12.299	6.013	4.285	100.943	-27.794	-28.418	0.999781	0.06	0.005509	0.0	1.996	5.13	8.241	10.076	10.861	0.127	1.954	5.141	8.273	10.03	10.879	-0.127	0.042	-0.011	-0.032	0.046	-0.018	5
SPAC31A2.07c_85	dbp10	SPAC31A2.07c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.048	0.98	1.312	2.187	8.517	18.45	16.263	6.584	5.168	109.592	3.103	2.478	0.969137	0.785	0.063269	0.0	2.946	5.284	7.907	12.415	11.684	0.43	2.498	5.395	8.563	10.782	12.137	-0.43	0.448	-0.111	-0.656	1.633	-0.453	5
SPBC21C3.05_20	sap62	SPBC21C3.05	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.869	1.123	2.002	2.756	8.211	16.77	14.014	6.545	5.102	111.13	-0.126	-0.751	0.983137	0.6	0.048336	0.0	2.514	5.115	8.566	12.417	11.906	0.203	2.139	5.406	8.946	11.22	12.468	-0.203	0.375	-0.291	-0.38	1.197	-0.562	5
SPAC2E12.02_40	hsf1	SPAC2E12.02	8	nan	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.99	1.252	0.624	1.306	6.243	13.99	12.684	4.736	5.147	136.959	-2.486	-3.11	0.989159	0.493	0.037641	0.0	4.228	7.769	10.069	13.099	13.099	0.592	3.868	7.655	10.798	12.458	13.252	-0.592	0.36	0.114	-0.729	0.641	-0.153	8
SPAC1486.06_44	npt1	SPAC1486.06	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.583	1.222	0.974	1.702	6.971	15.239	13.536	5.363	5.365	132.936	-3.44	-4.064	0.99121	0.455	0.034431	0.0	3.747	7.062	10.014	13.226	13.226	0.49	3.388	7.112	10.534	12.511	13.528	-0.49	0.359	-0.05	-0.52	0.715	-0.302	7
