systematic_id,gene_name,verification_phenotype,verification_essentiality,round_gene_num,comments,total_colonies,filtered_count,filtering_fraction,deletion_with_area_count,deletion_without_area_count,deletion_with_area_fraction,median_area_day3,median_area_day4,median_area_day5,median_area_day6,mean_area_day3,mean_area_day4,mean_area_day5,mean_area_day6
SPCC736.06,dar2,small colonies,V,20th_round_350,20th_round_350_#1: 克隆可见但转印后难长;20th_round_350_#2: 克隆可见但转印后难长,48.0,44.0,0.92,20.0,2.0,0.91,0.0,0.0,0.024,0.04,0.0,0.007,0.028,0.047
SPCC736.07c,uri1,E,E,13th_round_170,,,,,,,,,,,,,,,
SPCC777.07,omh3,"E,small colonies",E,"11th_round_141,17th_round_303",11th_round_141_#1: 克隆形状不规则且不都是一个长一个不长;11th_round_141_#2: 克隆形状不规则且不都是一个长一个不长;17th_round_303_#3: 克隆形状不规则且一半一个长一个不长;17th_round_303_#4: 克隆形状不规则且一半一个长一个不长,192.0,164.0,0.85,44.0,38.0,0.54,0.0,0.007,0.007,0.011,0.01,0.025,0.037,0.048
SPCC777.10c,ubc12,E,E,22th_round_415,,,,,,,,,,,,,,,
SPCC965.03,vma8,E,E,16th_round_212,,,,,,,,,,,,,,,
SPCC965.05c,thp1,WT,V,17th_round_304,,96.0,84.0,0.88,38.0,4.0,0.9,0.938,0.98,1.031,1.094,0.849,0.88,0.912,0.934
SPCC970.05,rpl3601,small colonies,V,22th_round_378,,52.0,52.0,1.0,26.0,0.0,1.0,0.064,,,0.218,0.057,,,0.219
SPCP1E11.05c,are2,small colonies,V,17th_round_305,,96.0,88.0,0.92,44.0,0.0,1.0,0.49,0.501,0.537,0.543,0.469,0.482,0.51,0.532
SPCP1E11.08,nsa2,E,E,22th_round_430,,,,,,,,,,,,,,,
SPCP31B10.07,eft202,small colonies,V,11th_round_142,,96.0,96.0,1.0,47.0,1.0,0.98,0.742,0.753,0.813,0.9,0.771,0.728,0.768,0.778
